0,1,2,3,4,5
1602288000,365.02,380.81,365.35,370.75,117309.72652529
1602201600,347.15,368.7,351.17,365.36,116241.01508045
1602115200,334.29,353.34,341.7,351.25,88039.97567275
1602028800,332.87,342.83,340.8,341.68,95554.36544775
1601942400,336.73,355.33,353.82,340.78,101113.66417348
1601856000,348.69,356.12,352.42,353.73,53291.56083882
1601769600,344.08,354.35,346.18,352.48,57672.70466128
1601683200,343.71,351.2,345.74,346.18,39972.14867485
1601596800,334.19,354.25,352.84,345.7,152553.41162458
1601510400,345.01,370.25,360.01,352.9,123288.381776
1601424000,351.38,361.51,359.93,359.89,61528.3697469
1601337600,350.19,360.59,353.68,359.9,116581.13501754
1601251200,351.88,368.52,357.53,353.91,104212.37558644
1601164800,347.05,362.86,354.01,357.55,80085.26429182
1601078400,346.03,356.5,352.12,354.13,61035.01105045
1600992000,337.63,358.12,349.14,352.11,126913.44997664
1600905600,316.65,353.14,320.65,349.14,183245.45463309
1600819200,313.0,344.64,344.25,320.63,190725.11444266
1600732800,335.57,346.84,340.36,344.26,125988.89838001
1600646400,331.0,376.76,371.03,340.11,266795.43383713
1600560000,364.89,385.31,385.25,370.69,89803.37071302
1600473600,377.2,388.43,384.6,385.23,70257.87733175
1600387200,375.19,392.69,389.52,384.64,163353.49313499
1600300800,363.4,394.55,365.22,389.45,212965.41279613
1600214400,355.0,373.37,364.05,365.23,130167.7980122
1600128000,362.5,382.76,377.27,364.2,170054.9627384
1600041600,355.66,384.61,366.58,377.28,190573.77197746
1599955200,353.58,390.41,387.82,366.58,164465.94392732
1599868800,364.88,388.25,373.93,387.81,109437.79363532
1599782400,355.81,375.38,367.94,373.93,132464.58690229
1599696000,350.23,377.79,351.11,368.06,217245.43576712
1599609600,330.6,359.41,337.48,351.1,166730.61512655
1599523200,325.36,357.01,353.71,337.48,209229.73612667
1599436800,323.17,358.66,352.85,353.71,215514.08931085
1599350400,316.43,360.61,335.25,352.77,266338.83290829
1599264000,310.0,394.38,389.2,335.25,607878.87819331
1599177600,359.0,400.5,382.15,388.96,286186.00739699
1599091200,370.0,451.0,439.99,382.87,407832.29146336
1599004800,420.58,481.2,475.57,440.02,320308.05438354
1598918400,429.66,488.95,433.88,475.57,333743.62207967
1598832000,418.16,439.0,428.92,433.89,168619.80537213
1598745600,398.24,429.9,398.57,428.94,170379.4456584
1598659200,392.34,405.82,395.35,398.58,89963.76995825
1598572800,379.67,398.16,383.27,395.47,123755.41938251
1598486400,371.5,397.15,386.12,383.25,121889.95194935
1598400000,377.56,393.5,383.26,386.1,131417.52221164
1598313600,369.36,409.31,407.76,383.33,189576.54223265
1598227200,387.72,411.97,390.78,407.76,153521.94600679
1598140800,383.67,400.0,395.52,390.9,79939.92783349
1598054400,379.53,399.73,388.0,395.62,145453.08931908
1597968000,385.0,418.92,415.92,388.05,218376.51497554
1597881600,402.3,419.58,407.6,415.92,146536.51021535
1597795200,393.75,426.97,422.31,407.59,212936.96902525
1597708800,414.44,434.27,431.5,422.31,148682.30738539
1597622400,420.5,447.5,433.71,431.5,221839.14358535
1597536000,412.51,437.0,432.67,433.7,198013.6894012
1597449600,428.0,443.33,438.83,432.55,170960.90077551
1597363200,417.52,445.45,425.0,438.83,320572.96388462
1597276800,376.46,432.94,387.27,424.94,363868.52826094
1597190400,365.19,389.57,378.92,387.27,193171.5051413
1597104000,364.77,398.3,395.77,378.88,231283.21718575
1597017600,385.44,400.21,390.41,395.78,198449.18038811
1596931200,384.02,401.0,397.5,390.41,144028.58904543
1596844800,376.18,400.06,379.76,397.51,109615.57796907
1596758400,362.88,398.57,395.28,379.75,258109.56327072
1596672000,391.0,404.03,401.21,395.28,147321.25541594
1596585600,383.86,408.0,389.76,401.21,208377.2177264
1596499200,380.67,403.64,386.27,389.82,250989.95459676
1596412800,366.34,399.69,372.19,386.22,246596.56665901
1596326400,325.75,415.0,387.4,372.21,573146.54484066
1596240000,343.75,394.0,346.86,387.4,308505.50003166
1596153600,328.35,349.74,335.25,346.86,199448.47978816
1596067200,314.52,342.4,318.15,335.31,175330.87646686
1595980800,312.66,325.85,317.52,318.16,166994.96333734
1595894400,306.29,327.34,322.41,317.59,208395.56039785
1595808000,311.38,334.34,311.43,322.24,412079.37629514
1595721600,300.21,319.86,305.55,311.35,238205.01599146
1595635200,279.62,310.0,279.66,305.66,245086.41093138
1595548800,268.39,287.8,275.56,279.59,180943.23090308
1595462400,260.1,282.6,264.28,275.68,309092.34216714
1595376000,241.62,269.49,245.64,264.28,152721.59642151
1595289600,235.77,247.18,236.12,245.65,132078.78763576
1595203200,233.85,239.8,239.26,236.1,75335.42836551
1595116800,233.28,240.0,235.69,239.17,47600.88537256
1595030400,232.24,236.97,232.59,235.72,48348.08464248
1594944000,230.87,234.55,233.47,232.63,77645.60947152
1594857600,229.77,239.16,238.35,233.41,143676.50946975
1594771200,236.36,241.44,240.4,238.33,116172.66592129
1594684800,236.66,242.01,239.25,240.43,70522.17530535
1594598400,236.97,245.37,242.81,239.44,123671.07492457
1594512000,236.51,243.9,239.18,242.81,61521.88398572
1594425600,237.43,241.58,241.26,239.17,38867.95249326
1594339200,235.56,242.12,242.0,241.2,71281.88112286
1594252800,237.04,247.67,247.11,242.0,107698.9573371
1594166400,237.91,249.0,239.37,247.14,135216.77486401
1594080000,234.55,243.82,241.71,239.37,84359.1623332
1593993600,227.08,241.99,227.62,241.65,140881.46531449
1593907200,223.5,229.93,229.34,227.67,45635.09435721
1593820800,224.5,231.04,224.98,229.34,50798.99631699
1593734400,224.31,228.26,226.43,225.06,67562.68650168
1593648000,222.78,232.15,231.15,226.48,89324.15323347
1593561600,224.11,232.77,225.5,231.03,91282.48097
1593475200,222.93,228.69,227.81,225.48,57678.36075887
1593388800,220.98,229.98,224.94,227.81,81211.44620718
1593302400,217.35,227.93,220.74,224.76,67155.35599069
1593216000,215.16,231.1,229.45,220.76,131871.65434052
1593129600,227.3,233.25,231.94,229.44,82611.98976703
1593043200,227.05,235.24,234.44,231.97,115681.75713751
1592956800,230.66,249.04,243.08,234.44,145340.38961032
1592870400,240.73,244.8,243.24,243.12,73617.26296542
1592784000,227.2,246.95,227.7,243.23,166917.79861423
1592697600,226.86,231.29,228.8,227.68,44083.75435657
1592611200,225.5,230.67,228.67,228.8,44777.05564533
1592524800,226.43,231.9,231.05,228.66,66279.2578057
1592438400,227.37,234.5,233.69,231.05,64198.37536142
1592352000,227.5,237.0,235.35,233.71,89376.40701295
1592265600,228.78,236.02,230.96,235.34,86465.3143021
1592179200,217.79,234.0,231.34,230.98,240181.57688417
1592092800,229.75,238.59,238.18,231.34,108186.66771876
1592006400,234.11,238.8,237.57,238.17,46315.99128011
1591920000,227.84,239.54,230.14,237.53,133036.84861839
1591833600,225.2,250.26,248.27,230.15,240083.16277683
1591747200,242.13,250.56,244.04,248.16,142311.15342422
1591660800,238.91,249.99,246.55,244.03,111405.53181014
1591574400,240.82,247.97,244.79,246.55,93327.75056481
1591488000,234.48,245.45,241.92,244.81,128372.56725763
1591401600,237.67,244.52,240.04,241.92,60101.61055226
1591315200,238.65,247.9,243.18,240.04,117168.70393642
1591228800,236.17,246.73,244.59,243.18,159033.0192543
1591142400,233.28,245.39,237.7,244.6,112638.13782506
1591056000,225.6,253.6,248.42,237.71,270793.52134846
1590969600,230.59,251.46,231.43,248.41,216373.63959941
1590883200,229.46,245.46,243.85,231.54,162582.98189044
1590796800,218.33,247.36,220.55,243.84,254679.91896954
1590710400,217.52,224.84,220.39,220.62,135620.52543794
1590624000,204.5,220.68,208.41,220.44,146497.83268041
1590537600,200.76,208.48,200.87,208.41,77179.58901738
1590451200,196.65,205.03,204.13,200.91,100703.87164821
1590364800,198.01,205.71,199.63,204.06,81997.29845547
1590278400,199.3,210.67,206.61,199.63,106095.09791687
1590192000,204.56,211.3,207.3,206.66,67466.85940148
1590105600,196.12,209.28,198.61,207.32,129598.18331979
1590019200,191.27,211.52,209.95,198.62,179532.29834323
1589932800,205.1,215.5,214.8,209.96,104103.82197937
1589846400,209.22,215.84,214.86,214.71,98910.17410947
1589760000,206.99,216.99,207.05,214.97,163043.28096713
1589673600,199.1,210.0,200.5,207.05,114512.3105608
1589587200,193.24,203.36,194.66,200.53,89046.63238362
1589500800,191.35,204.3,203.4,194.7,145885.04950668
1589414400,195.7,206.25,199.92,203.4,169935.22065409
1589328000,188.36,201.59,189.93,199.92,145067.37490257
1589241600,185.79,192.89,185.93,190.1,114408.63558372
1589155200,176.43,193.77,187.65,185.93,266403.27205753
1589068800,180.01,210.06,210.06,187.73,479238.22296594
1588982400,208.27,214.79,211.65,210.0,120178.88081369
1588896000,207.2,217.0,212.5,211.59,156564.17053734
1588809600,196.82,215.99,199.1,212.47,259914.56415047
1588723200,198.18,211.21,205.5,199.26,172142.53654051
1588636800,201.33,212.17,207.02,205.43,126463.17604265
1588550400,195.17,210.96,210.24,206.86,209514.67319864
1588464000,205.28,219.48,214.25,210.24,145164.74879656
1588377600,210.57,215.59,212.08,214.25,86048.74335239
1588291200,206.18,217.58,206.22,212.09,153088.48477931
1588204800,202.3,227.5,215.74,206.23,410315.64169167
1588118400,196.64,219.59,196.64,215.66,377357.2932836
1588032000,192.5,197.95,196.88,196.67,105608.41827873
1587945600,189.6,199.41,197.8,196.78,165535.9963748
1587859200,192.54,200.0,194.42,197.83,134905.32156149
1587772800,185.97,198.2,187.92,194.42,147021.91304917
1587686400,184.97,189.91,185.65,187.84,125300.66822971
1587600000,178.44,194.86,183.1,185.66,271745.32794126
1587513600,170.02,184.41,171.05,183.11,178433.47878367
1587427200,168.44,174.93,170.39,171.07,169875.06657111
1587340800,166.4,186.67,180.28,170.5,280053.96893369
1587254400,176.53,189.92,187.85,180.39,194900.14018716
1587168000,170.69,191.22,170.85,187.88,320092.58324239
1587081600,168.5,175.1,172.58,170.89,136537.58680864
1586995200,148.08,175.2,152.76,172.55,376129.26054849
1586908800,152.17,161.5,158.68,152.77,142489.51028959
1586822400,155.56,163.0,156.76,158.65,198839.23382124
1586736000,149.7,159.44,158.82,156.76,233848.97745777
1586649600,155.31,165.45,158.68,158.87,133037.62244785
1586563200,154.2,161.5,158.1,158.55,96587.83228092
1586476800,152.3,170.39,169.71,158.1,258810.1653336
1586390400,165.32,173.55,173.43,169.75,165254.80474587
1586304000,163.49,174.77,164.54,173.36,192588.6023951
1586217600,161.47,176.82,171.56,164.57,533130.95121358
1586131200,142.79,172.19,142.79,171.5,398555.26124929
1586044800,140.81,145.98,144.49,142.79,64777.90082877
1585958400,139.04,146.69,141.48,144.48,85410.10645987
1585872000,138.0,146.81,141.48,141.54,120557.4337924
1585785600,135.5,150.5,136.14,141.53,214501.14100152
1585699200,128.6,137.4,133.08,136.14,99102.5178578
1585612800,130.45,135.35,132.3,133.08,86613.22974083
1585526400,124.05,135.48,124.43,132.32,154018.23932986
1585440000,123.72,132.18,131.36,124.35,93067.42014241
1585353600,125.01,133.8,131.56,131.35,172811.93639922
1585267200,130.0,142.5,139.0,131.56,173786.92012003
1585180800,133.52,140.36,136.35,139.0,168611.79605607
1585094400,132.5,142.79,138.95,136.26,228043.63383605
1585008000,133.04,144.16,137.0,139.0,328276.63196021
